Key,"Turkey, tr","English, en-US","German, de","French, fr"
"""Uzmanlığınıza uygun danışanlarla buluşmak ve pratiğinizi genişletmek için platformumuza katılın.""","Uzmanlığınıza uygun danışanlarla buluşmak ve pratiğinizi genişletmek için platformumuza katılın.","Join our platform to meet clients in your specialty and expand your practice.","Treten Sie unserer Plattform bei, um Kunden in Ihrem Fachgebiet zu treffen und Ihre Praxis zu erweitern.","Rejoignez notre plateforme pour rencontrer des clients dans votre spécialité et développer votre pratique."
"""Yapay zeka destekli danışan eşleştirmesi""","Yapay zeka destekli danışan eşleştirmesi","Artificial intelligence assisted client matching","Durch künstliche Intelligenz unterstützter Kundenabgleich","Recherche de clients assistée par l'intelligence artificielle"
"""Esnek planlama""","Esnek planlama","Flexible planning","Flexible Planung","Planification flexible"
"""Güvenli ödeme sistemi""","Güvenli ödeme sistemi","Secure payment system","Sicheres Zahlungssystem","Système de paiement sécurisé"
"""Mesleki gelişim kaynakları""","Mesleki gelişim kaynakları","Professional development resources","Ressourcen für die berufliche Entwicklung","Ressources de développement professionnel"
"""Terapist Olarak Katıl""","Terapist Olarak Katıl","Participate as a Therapist","Als Therapeut teilnehmen","Participer en tant que thérapeute"
,,,,
# Footer
"""Yapay zeka destekli eşleştirme ile ruh sağlığı uzmanlarıyla sizi buluşturuyoruz.""","Yapay zeka destekli eşleştirme ile ruh sağlığı uzmanlarıyla sizi buluşturuyoruz.","We bring you together with mental health experts with artificial intelligence-supported matching.","Wir bringen Sie mit Experten für psychische Gesundheit mit Hilfe von künstlicher Intelligenz zusammen.","Nous vous mettons en contact avec des experts en santé mentale grâce à une mise en relation assistée par l'intelligence artificielle."
"""Hızlı Bağlantılar""","Hızlı Bağlantılar","Quick Links","Schnell-Links","Liens rapides"
"""Destek""","Destek","Support","Unterstützung","Support"
"""Yardım Merkezi""","Yardım Merkezi","Help Center","Hilfe-Center","Centre d'aide"
"""Gizlilik Politikası""","Gizlilik Politikası","Privacy Policy","Datenschutzrichtlinien","Politique de confidentialité"
"""Tüm hakları saklıdır.""","Tüm hakları saklıdır.","All rights reserved.","Alle Rechte vorbehalten.","Tous les droits sont réservés."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
